"ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount"
"600519.SH","20220127","2001.01","2010.82","1952","1965","1955","10","0.5115","42665.16","8450329.058"
"600519.SH","20220126","1942.04","1969","1919","1955","1943","12","0.6176","23905.13","4655706.528"
"600519.SH","20220125","1943","1966","1931","1943","1950.2","-7.2","-0.3692","25510.12","4971078.498"
"600519.SH","20220124","1955","1984","1931.44","1950.2","1984.99","-34.79","-1.7527","23985.8","4685441.775"
"600519.SH","20220121","1960","1993.49","1951.01","1984.99","1969.52","15.47","0.7855","30812.58","6091427.695"
"600519.SH","20220120","1916","1979.99","1916","1969.52","1912","57.52","3.0084","34013.91","6665294.954"
"600519.SH","20220119","1919","1919","1888.88","1912","1892.27","19.73","1.0427","26370.94","5026993.463"
"600519.SH","20220118","1861.68","1908.85","1852","1892.27","1861.61","30.66","1.647","31215.77","5906705.861"
"600519.SH","20220117","1868","1878.3","1835.34","1861.61","1867","-5.39","-0.2887","27353.82","5074077.665"
"600519.SH","20220114","1877.39","1893","1863","1867","1877.39","-10.39","-0.5534","29321.64","5506186.026"
"600519.SH","20220113","1964.82","1967.99","1865.56","1877.39","1967","-89.61","-4.5557","56747.35","10781720.544"
"600519.SH","20220112","1948","1978.8","1948","1967","1940.55","26.45","1.363","27474.1","5384359.628"
"600519.SH","20220111","1948","1965","1931.17","1940.55","1966","-25.45","-1.2945","22276.64","4332180.604"
"600519.SH","20220110","1928.01","1977","1917.55","1966","1942","24","1.2358","29626.7","5792738.145"
"600519.SH","20220107","1975","1988.88","1939.32","1942","1982.22","-40.22","-2.029","29816.69","5831695.311"
"600519.SH","20220106","2022.01","2036","1938.51","1982.22","2024","-41.78","-2.0642","51794.75","10226933.847"
"600519.SH","20220105","2045","2065","2018","2024","2051.23","-27.23","-1.3275","28395.51","5774992.117"
"600519.SH","20220104","2055","2068.95","2014","2051.23","2050","1.23","0.06","33842.62","6913653.122"
"600519.SH","20211231","2070","2072.98","2028","2050","2075","-25","-1.2048","29664.91","6061415.344"
"600519.SH","20211230","2041","2088.98","2028","2075","2041","34","1.6659","35261.36","7272866.657"
"600519.SH","20211229","2150","2154.25","2041","2041","2138.18","-97.18","-4.545","54049.02","11195625.154"
"600519.SH","20211228","2133","2155.5","2116.6","2138.18","2131.82","6.36","0.2983","27650.7","5901940.633"
"600519.SH","20211227","2168","2168","2112","2131.82","2194.09","-62.27","-2.8381","37555.9","8020677.686"
"600519.SH","20211224","2148.88","2216.96","2148.88","2194.09","2120","74.09","3.4948","56129.59","12295953.4"
"600519.SH","20211223","2053","2120","2025","2120","2048","72","3.5156","39098.54","8126298.013"
"600519.SH","20211222","2040","2063","2040","2048","2038.2","9.8","0.4808","17430.79","3570928.372"
"600519.SH","20211221","2045","2069.13","2012.83","2038.2","2058.96","-20.76","-1.0083","26285.89","5354186.59"
"600519.SH","20211220","2050.7","2085.66","2041","2058.96","2050.7","8.26","0.4028","32257.69","6654596.508"
"600519.SH","20211217","2100.5","2108","2036","2050.7","2118.99","-68.29","-3.2228","48403.18","9988869.785"
"600519.SH","20211216","2115","2144.05","2086.23","2118.99","2135","-16.01","-0.7499","37211.36","7865499.278"
"600519.SH","20211215","2142.15","2164.95","2125.02","2135","2150","-15","-0.6977","30078.27","6444715.086"
"600519.SH","20211214","2118.2","2167.9","2100","2150","2118.2","31.8","1.5013","40449.41","8673733.691"
"600519.SH","20211213","2154","2180","2118","2118.2","2090","28.2","1.3493","65806.56","14139012.29"
"600519.SH","20211210","2060","2095.78","2056","2090","2086.55","3.45","0.1653","43148.22","8944582.265"
"600519.SH","20211209","2054.94","2116.92","2045","2086.55","2043","43.55","2.1317","64239.18","13404724.467"
"600519.SH","20211208","1964.88","2045","1950","2043","1955.87","87.13","4.4548","61048.07","12285101.988"
"600519.SH","20211207","1980.74","1987.87","1946.73","1955.87","1967.3","-11.43","-0.581","36979.89","7286659.622"
"600519.SH","20211206","1983","1990","1950","1967.3","1971.88","-4.58","-0.2323","31063.88","6122543.819"
"600519.SH","20211203","1932","1988.62","1931.05","1971.88","1934","37.88","1.9586","35818.39","7045848.18"
"600519.SH","20211202","1940","1942.15","1919.6","1934","1932.99","1.01","0.0523","20421.82","3939731.543"
"600519.SH","20211201","1950","1959.95","1919.02","1932.99","1930.77","2.22","0.115","26254.4","5071457.098"
"600519.SH","20211130","1985.4","1989.9","1927.5","1930.77","1985","-54.23","-2.732","36924.87","7192172.533"
"600519.SH","20211129","1960","1990","1951.08","1985","1941.01","43.99","2.2663","42399.34","8372476.083"
"600519.SH","20211126","1964.83","1967","1925","1941.01","1956.03","-15.02","-0.7679","32655.57","6337346.211"
"600519.SH","20211125","1953","1986.2","1946.25","1956.03","1941","15.03","0.7743","39752.88","7803035.266"
"600519.SH","20211124","1900","1966","1897","1941","1896.43","44.57","2.3502","54512.35","10555736.753"
"600519.SH","20211123","1852","1917","1852","1896.43","1854.27","42.16","2.2737","45782.2","8676297.616"
"600519.SH","20211122","1849","1909","1848","1854.27","1828.41","25.86","1.4143","42572.68","7994018.41"
"600519.SH","20211119","1794.19","1849","1788.2","1828.41","1792","36.41","2.0318","31155.59","5699883.8"
"600519.SH","20211118","1781.22","1807","1770","1792","1795","-3","-0.1671","19520.89","3485674.964"
"600519.SH","20211117","1805","1820.5","1790.01","1795","1808","-13","-0.719","24505.46","4411450.908"
"600519.SH","20211116","1768","1818","1765","1808","1761.14","46.86","2.6608","33526.24","6033536.262"
"600519.SH","20211115","1773.68","1784","1750","1761.14","1773.78","-12.64","-0.7126","24947.35","4410975.373"
"600519.SH","20211112","1778","1785.05","1766.66","1773.78","1769.6","4.18","0.2362","17606.63","3124400.972"
"600519.SH","20211111","1752.93","1769.6","1741.5","1769.6","1753.99","15.61","0.89","22651.87","3987243.285"
"600519.SH","20211110","1790.01","1795","1735","1753.99","1790.01","-36.02","-2.0123","35348.77","6204803.25"
"600519.SH","20211109","1819.98","1827.87","1782","1790.01","1820.1","-30.09","-1.6532","27351.92","4915170.028"
"600519.SH","20211108","1820","1830.8","1802.05","1820.1","1819.94","0.16","0.0088","17705.72","3220439.334"
"600519.SH","20211105","1804.21","1844.99","1804.21","1819.94","1804.2","15.74","0.8724","27077.23","4956331.383"
"600519.SH","20211104","1777.94","1816","1769.42","1804.2","1765","39.2","2.221","31130.43","5592211.731"
"600519.SH","20211103","1800","1809.98","1761.19","1765","1804.64","-39.64","-2.1966","27829.31","4958314.535"
"600519.SH","20211102","1796.7","1844.22","1788","1804.64","1803","1.64","0.091","32500.24","5875341.369"
"600519.SH","20211101","1780","1826.3","1760","1803","1826.08","-23.08","-1.2639","41689.98","7486936.394"
"600519.SH","20211029","1825","1848","1813","1826.08","1825.49","0.59","0.0323","28775.86","5266898.95"
"600519.SH","20211028","1825.2","1843.78","1802","1825.49","1819","6.49","0.3568","29490.93","5383196.101"
"600519.SH","20211027","1852.3","1858.3","1800.1","1819","1861.05","-42.05","-2.2595","34647.29","6302270.905"
"600519.SH","20211026","1864.03","1878.99","1844","1861.05","1873.03","-11.98","-0.6396","21130.26","3934223.714"
"600519.SH","20211025","1880","1885.01","1858","1873.03","1901","-27.97","-1.4713","32461.33","6076219.948"
"600519.SH","20211022","1855","1921.01","1854","1901","1844","57","3.0911","35962.6","6794850.056"
"600519.SH","20211021","1841.1","1860","1829","1844","1841","3","0.163","23018.7","4238584.294"
"600519.SH","20211020","1833","1849.8","1806.01","1841","1812.18","28.82","1.5903","28663.39","5246404.615"
"600519.SH","20211019","1800","1838.8","1799.88","1812.18","1800","12.18","0.6767","40314.56","7330114.082"
"600519.SH","20211018","1888","1888","1787","1800","1916.97","-116.97","-6.1018","69652.02","12651498.607"
"600519.SH","20211015","1890.1","1929.99","1890.1","1916.97","1911","5.97","0.3124","28560.78","5452953.879"
"600519.SH","20211014","1928.93","1941.8","1896","1911","1929.9","-18.9","-0.9793","26622.55","5097602.232"
"600519.SH","20211013","1870","1949.95","1862","1929.9","1870.99","58.91","3.1486","50142.61","9625769.127"
"600519.SH","20211012","1866","1877","1842.42","1870.99","1867.12","3.87","0.2073","30606.42","5688160.837"
"600519.SH","20211011","1839.51","1889.9","1831.01","1867.12","1839.6","27.52","1.496","37675.57","7040475.327"
"600519.SH","20211008","1822.42","1878","1807.23","1839.6","1830","9.6","0.5246","47451.96","8780381.118"
"600519.SH","20210930","1818.18","1850.22","1803.4","1830","1820","10","0.5495","40539.29","7411735.79"
"600519.SH","20210929","1809","1845.01","1785.9","1820","1822.06","-2.06","-0.1131","43290.65","7870151.768"
"600519.SH","20210928","1848","1860","1795","1822.06","1855","-32.94","-1.7757","49221.05","8973408.813"
"600519.SH","20210927","1750","1863.4","1750","1855","1694","161","9.5041","126868.92","23270689.695"
"600519.SH","20210924","1628","1719.98","1628","1694","1635","59","3.6086","69536.6","11756596.091"
"600519.SH","20210923","1638","1655.88","1625.08","1635","1637.69","-2.69","-0.1643","30341.81","4964210.091"
"600519.SH","20210922","1658.83","1688","1635","1637.69","1686","-48.31","-2.8654","31743","5227723.003"
"600519.SH","20210917","1620","1705.6","1620","1686","1638.07","47.93","2.926","55130.25","9242101.552"
"600519.SH","20210916","1603","1644","1585","1638.07","1615.74","22.33","1.382","45968.02","7458455.126"
"600519.SH","20210915","1650","1660","1610","1615.74","1657","-41.26","-2.49","41570.05","6781755.393"
"600519.SH","20210914","1659","1683","1653","1657","1654","3","0.1814","33760.61","5638962.654"
"600519.SH","20210913","1665","1684","1640.1","1654","1662.58","-8.58","-0.5161","27720.02","4605031.711"
